Inlet Pressure (bar),Outlet Pressure (bar),Cold Mass Fraction,Nozzle Diameter (mm),Tube Diameter (mm),Tube Length (mm),L/D Ratio,Reynolds Number,Pressure Ratio,Mach Number,Swirl Number,Turbulence Intensity (%),Shock Angle (deg),Shock Location (mm),Maximum Mach,Minimum Pressure (bar),Shock Length (mm),Number of Shocks,Maximum Temperature (K),Cold Exit Temperature (K),Hot Exit Temperature (K),Pressure Drop (bar),Entropy Generation,Shock Intensity,Vorticity (1/s),Helicity(m/s2),Q-Criterion(1/s2),Turbulent Kinetic Energy(m2/s2),Eddy Dissipation Rate(m2/s3),Circulation(m2/s),Swirl Velocity (m/s),Axial Velocity (m/s),Tangential Velocity (m/s),Radial Pressure Gradient (kPa/m),Vortex Core Radius (mm)
3.732,1.179,0.797,2.761,15.893,567.284,35.693,112279,3.165,0.835,0.541,1.634,33.127,147.691,0.897,1.123,27.116,1,351.294,237.462,380.085,2.811,1.707,1.698,923.196,235.436,32622.554,6.111,22.508,4.854,104.781,131.539,164.622,86.058,2.76
4.134,1.705,0.352,1.165,14.973,353.042,23.578,208290,2.424,0.689,0.378,11.235,27.78,100.935,0.85,1.625,19.333,1,341.961,256.232,357.26,2.933,1.85,1.435,1173.988,259.964,37798.039,10.58,34.757,6.72,110.864,128.3,176.822,76.753,2.738
6.314,1.455,0.462,1.129,14.359,481.411,33.527,155038,4.339,0.958,1.171,1.724,31.718,181.896,1.066,1.344,28.615,2,388.564,216.029,406.383,5.319,2.321,2.553,1199.193,653.604,40793.763,9.017,29.634,7.199,121.568,126.236,181.572,100.846,2.469
3.783,1.668,0.512,2.069,18.121,441.296,24.352,53902,2.268,0.677,0.756,9.152,28.725,110.816,0.64,1.626,24.608,1,344.163,249.547,356.059,2.288,1.286,1.36,801.167,278.86,31976.061,7.102,20.008,5.36,97.727,129.447,149.051,80.869,3.156
5.398,1.837,0.377,2.246,10.819,366.823,33.904,112010,2.938,0.781,1.361,5.159,30.759,133.402,0.901,1.762,25.9,1,363.172,241.017,386.433,3.851,1.712,1.742,1106.426,664.878,38842.587,9.592,28.868,4.369,116.42,130.774,179.486,92.819,1.696
4.856,1.17,0.209,1.228,13.31,603.215,45.322,83392,4.152,0.917,0.603,11.437,30.08,183.241,0.986,1.085,32.121,2,386.318,222.252,402.37,4.007,2.21,2.228,877.779,292.656,32944.044,8.9,23.927,4.623,104.031,129.706,157.318,89.82,2.479
5.982,1.019,0.332,1.66,9.865,718.713,72.852,143842,5.87,1.141,0.844,5.616,34.461,260.358,1.355,0.899,35.221,4,418.208,187.995,439.179,5.234,3.029,3.136,1125.04,419.898,41215.714,7.976,29.393,4.641,115.858,140.329,179.002,102.226,1.742
7.621,1.779,0.369,2.882,15.151,103.649,6.841,215539,4.284,0.949,1.067,9.983,31.8,83.649,0.977,1.615,26.367,2,384.994,218.146,406.245,6.368,2.736,2.305,1327.344,577.133,41274.651,12.567,37.396,6.578,128.064,125.992,194.045,97.09,2.599
6.395,1.61,0.466,1.343,11.007,753.532,68.462,125978,3.973,0.875,1.353,4.109,32.352,223.946,1.005,1.467,36.808,2,388.219,223.101,396.57,5.084,2.209,2.226,1145.998,657.626,40008.465,9.493,28.991,5.866,121.525,130.702,187.087,97.513,1.733
3.29,1.7,0.303,2.27,12.006,458.061,38.152,125335,1.935,0.652,0.93,4.29,29.688,134.887,0.653,1.602,22.277,1,348.994,262.693,353.398,1.89,1.419,1.368,1073.927,431.718,38414.871,7.904,25.306,5.307,106.773,127.174,168.296,79.147,2.601
2.187,1.398,0.724,2.428,13.655,590.512,43.245,229177,1.565,0.551,0.748,7.551,28.038,175.896,0.603,1.298,30.344,1,338.118,261.682,338.633,1.23,1.482,1.144,1282.16,456.241,40071.865,10.916,37.296,5.445,116.629,124.59,172.496,76.853,1.832
3.574,1.803,0.623,1.786,8.321,698.937,83.994,156760,1.982,0.625,1.34,11.978,28.019,189.579,0.693,1.707,31.813,1,350.28,261.077,360.33,1.973,1.614,1.35,1228.693,739.508,42175.856,12.058,36.766,3.079,120.285,111.414,182.238,87.832,1.306
5.57,1.961,0.251,2.863,9.103,426.973,46.903,154562,2.841,0.728,0.672,6.693,30.221,121.007,0.821,1.933,21.563,1,362.25,251.841,375.305,3.946,1.728,1.713,1049.691,320.788,36366.247,8.838,28.468,4.753,109.658,124.3,175.573,83.254,1.522
2.309,1.536,0.59,2.421,16.231,684.482,42.171,87620,1.503,0.574,0.395,11.299,25.702,156.91,0.576,1.52,27.142,1,334.086,272.512,333.889,0.976,1.11,1.041,782.44,161.654,31762.005,7.445,23.148,4.963,95.803,121.936,145.197,67.897,3.094
4.978,1.488,0.592,1.807,13.148,224.334,17.063,163699,3.344,0.805,0.834,9.649,32.441,102.412,0.878,1.398,22.189,2,363.688,233.31,384.541,3.771,2.088,1.886,1119.365,402.58,37390.303,9.826,31.269,4.852,114.857,125.105,167.634,87.641,2.279
5.581,1.402,0.774,2.053,18.377,211.417,11.504,156700,3.981,0.876,1.242,9.755,35.044,109.39,1.041,1.305,22.883,2,383.325,224.156,406.481,4.485,2.235,2.303,1200.801,709.324,39234.722,10.665,33.232,7.763,121.803,131.664,189.479,96.228,3.307
4.005,1.154,0.202,2.324,16.336,560.23,34.294,117307,3.472,0.874,0.337,5.796,28.743,193.435,0.871,1.048,26.362,2,363.655,237.543,381.306,3.016,1.924,1.949,925.808,191.922,34026.476,6.464,23.881,5.67,99.321,126.272,153.648,83.594,2.842
6.625,1.573,0.349,2.103,8.097,709.1,87.573,247953,4.213,0.952,1.003,5.252,34.663,229.753,0.893,1.5,36.446,2,390.475,221.244,402.628,5.479,2.671,2.238,1445.045,643.43,43153.261,11.458,38.193,4.54,132.403,132.091,205.817,95.595,1.796
2.64,1.179,0.757,2.733,15.401,724.698,47.057,224016,2.238,0.649,1.013,3.111,28.169,208.092,0.756,1.04,33.569,1,348.103,254.186,361.447,1.87,1.708,1.539,1300.623,574.436,41891.354,10.567,36.117,7.695,123.954,124.343,192.358,84.635,2.821
2.451,1.906,0.759,1.585,9.125,550.618,60.344,194908,1.286,0.524,1.414,11.603,32.592,133.116,0.536,1.835,31.449,1,334.276,272.833,349.085,0.828,1.457,1.099,1327.495,824.389,42140.977,12.903,39.234,4.361,124.797,111.596,198.527,79.275,1.47
6.369,1.583,0.632,1.46,17.371,467.842,26.932,148216,4.023,0.94,0.644,11.553,30.255,144.168,1.048,1.497,30.724,2,382.958,225.178,397.281,5.036,2.23,2.292,1076.979,322.657,36465.826,9.327,31.152,6.688,109.483,135.065,166.886,95.253,3.248
4.973,1.593,0.659,1.27,19.898,331.975,16.684,131653,3.122,0.762,0.635,9.218,30.383,122.556,0.913,1.484,22.87,1,363.582,236.092,376.287,3.701,1.82,1.744,1001.831,248.143,37767.228,9.008,27.412,6.795,107.2,129.538,165.785,81.525,3.513
6.13,1.355,0.255,0.883,14.374,786,54.681,70677,4.525,0.988,0.829,4.259,32.799,274.652,1.077,1.236,40.51,2,398.175,218.762,414.107,5.033,2.269,2.444,919.575,392.938,35812.784,6.212,22.334,4.162,105.344,131.934,161.553,97.226,2.928
4.609,1.052,0.508,0.895,16.193,323.787,19.995,97262,4.381,0.946,0.728,3.697,30.236,111.498,1.029,0.913,20.508,2,382.695,222.071,407.185,3.918,2.129,2.359,952.812,353.79,33915.679,7.173,24.662,4.913,101.566,136.912,160.132,91.187,3.163
3.478,1.032,0.339,2.714,10.848,620.93,57.24,200271,3.371,0.84,1.184,11.875,34.619,172.912,0.853,0.884,38.055,2,370.446,239.25,383.562,2.815,2.27,2.025,1316.216,693.024,43195.842,12.032,36.769,4.925,122.449,123.566,192.906,94.899,1.976
6.915,1.423,0.309,2.292,13.251,472.387,35.649,129824,4.858,0.991,1.07,1.732,32.946,175.489,1.203,1.254,25.138,3,402.634,214.695,422.244,5.847,2.417,2.709,1104.827,520.756,39296.339,8.909,26.792,5.296,120.648,135.53,188.494,101.941,2.306
6.796,1.085,0.686,2.253,18.273,525.959,28.783,224099,6.267,1.149,1.211,10.279,33.228,226.947,1.271,0.967,29.6,5,419.789,173.962,456.191,6.187,3.495,3.253,1411.624,758.258,43351.124,12.95,39.966,8.301,133.581,135.305,215.666,113.806,3.126
6.168,1.607,0.281,2.152,10.009,375.436,37.51,62540,3.839,0.841,1.284,4.91,27.459,115.575,0.886,1.524,23.047,2,387.216,230.443,394.91,4.667,1.979,2.161,941.12,470.871,37267.12,7.99,22.827,4.32,108.786,123.699,170.831,95.485,1.94
3.633,1.881,0.481,2.668,11.186,775.376,69.314,141836,1.931,0.642,1.408,5.608,29.582,206.411,0.661,1.708,32.821,1,344.011,262.178,350.306,2.068,1.487,1.459,1214.102,712.534,42875.535,10.03,32.142,4.406,118.94,117.098,189.377,87.582,2.262
5.541,1.883,0.763,1.857,13.345,500.178,37.48,172332,2.943,0.736,0.817,10.152,32.852,138.784,0.695,1.847,36.219,1,363.586,244.002,370.383,4.091,1.968,1.727,1171.304,471.918,38850.713,10.627,34.102,5.042,111.634,119.988,169.491,86.692,2.319
4.166,1.659,0.311,2.715,16.547,756.451,45.715,143706,2.511,0.71,1.482,1.997,34.961,215.68,0.687,1.543,32.363,1,352.642,248.933,372.611,2.754,1.715,1.879,1230.017,803.202,42137.902,9.035,28.748,7.109,120.859,117.995,184.539,89.266,3.024
2.549,1.211,0.787,1.591,12.511,105.314,8.418,225629,2.105,0.63,0.559,4.896,26.359,20,0.459,1.147,19.706,1,343.656,254.299,357.052,1.748,1.632,1.302,1247.355,266.081,39296.092,9.524,31.813,4.277,117.768,119.944,190.462,76.407,2.336
7.504,1.863,0.797,2.839,19.133,500.869,26.179,247703,4.028,0.932,1.157,11.472,33.068,177.223,1.099,1.698,27.545,2,378.596,223.828,398.936,6.104,2.612,2.37,1433.74,708.795,45975.632,13.287,44.057,9.782,131.2,129.772,197.944,95.301,3.587
2.821,1.556,0.533,2.337,9.133,602.031,65.915,55483,1.813,0.595,0.941,8.69,27.969,154.659,0.529,1.51,32.239,1,349.751,259.916,353.401,1.326,1.106,1.291,858.096,311.749,33372.19,8.058,22.309,2.248,103.228,123.915,163.075,77.044,1.46
7.701,1.197,0.302,1.366,12.45,621.556,49.926,58590,6.436,1.136,1.28,9.304,34.091,228.665,1.307,1.061,30.452,5,424.361,182.466,445.381,6.718,2.976,3.114,966.478,539.953,37780.709,8.915,25.231,3.25,118.595,135.676,188.969,114.183,2.291
4.676,1.737,0.39,2.041,16.507,733.484,44.434,58671,2.691,0.733,0.872,9.333,28.387,203.436,0.67,1.678,34.037,1,353.85,248.387,370.397,2.995,1.501,1.553,890.171,347.588,33449.076,6.606,21.644,5.215,100.349,122.16,160.243,83.757,3.394
3.111,1.287,0.455,1.973,10.712,103.081,9.623,179858,2.418,0.719,1.241,1.666,33.551,20,0.71,1.216,19.338,1,358.073,252.251,366.458,2.137,1.674,1.538,1243.828,713.364,44290.701,9.37,32.426,4.734,118.657,120.577,177.536,86.818,1.91
5.251,1.803,0.386,1.103,15.877,100.231,6.313,111988,2.913,0.767,1.416,3.235,33.872,34.055,0.693,1.725,15.407,1,364.195,246.196,389.479,3.698,1.744,1.691,1106.664,704.708,39832.83,8.817,29.401,7.122,119.428,122.775,183.711,92.298,2.906
7.238,1.997,0.368,2.101,9.971,430.584,43.185,191329,3.624,0.881,1.179,6.404,33.838,148.414,1.132,1.86,34.563,2,379.817,228.477,386.301,5.642,2.18,2.066,1266.198,650.16,43280.988,11.442,35.67,4.508,122.293,128.33,192.043,92.782,1.835
6.393,1.03,0.783,1.493,8.672,120.506,13.896,119203,6.207,1.073,1.231,5.05,33.135,81.36,1.128,0.889,21.349,4,421.195,179.667,451.271,5.569,3.063,3.036,1114.697,607.708,40688.961,9.067,28.581,3.469,119.35,138.897,187.96,114.743,1.635
6.839,1.897,0.292,0.915,9.452,782.173,82.75,168073,3.605,0.828,0.381,5.52,29.66,198.273,0.886,1.798,34.188,2,365.538,232.362,376.277,5.413,2.135,1.821,1019.203,171.893,33046.951,7.153,26.124,3.392,107.462,134.289,166.529,86.979,1.458
5.953,1.623,0.64,2.887,19.16,255.446,13.332,199368,3.669,0.866,0.546,9.596,25.972,60.805,0.972,1.558,19.76,2,371.383,225.243,385.061,4.678,2.304,2.008,1204.032,333.663,39310.893,9.791,34.28,6.785,119.719,132.215,182.78,89.058,3.842
6.154,1.973,0.2,2.211,14.621,430.865,29.469,150607,3.118,0.83,1.469,1.161,35.524,152.174,0.833,1.858,26.367,1,365.954,245.961,379.429,4.468,1.798,2.091,1266.572,840.832,42011.988,9.782,30.902,6.52,125.449,123.569,193.351,95.871,2.608
7.095,1.465,0.558,2.729,17.556,142.796,8.134,148690,4.843,0.948,1.132,8.265,34.423,86.943,1.131,1.376,15.715,3,400.079,205.966,429.333,5.773,2.643,2.454,1169.035,555.45,41878.661,10.247,31.285,7.159,118.223,128,180.773,97.478,3.235
3.498,1.847,0.75,2.287,11.992,465.434,38.813,49411,1.893,0.591,0.974,1.001,26.296,112.276,0.521,1.795,31.346,1,347.329,262.28,351.919,1.725,1.001,1.154,817.756,312.104,31504.699,5.744,19.383,3.36,102.425,119.938,153.788,77.942,2.147
4.937,1.062,0.373,1.585,15.112,365.969,24.217,120371,4.647,0.937,0.74,1.694,35.435,156.942,1.214,0.906,26.19,3,393.255,210.752,410.266,4.009,2.335,2.373,975.644,328.204,36764.546,7.478,23.19,4.743,111.457,135.047,171.562,93.434,2.887
3.327,1.335,0.311,1.928,13.939,131.262,9.417,150070,2.492,0.72,0.353,5.491,24.465,37.014,0.66,1.304,17.899,1,350.958,254.77,358.888,2.219,1.553,1.428,977.062,165.284,36258.562,7.505,26.658,5.049,106.626,125.958,172.668,73.137,2.398
7.926,1.067,0.591,2.287,19.349,334.587,17.292,131635,7.428,1.214,0.743,10.25,36.601,187.975,1.343,0.969,28.359,6,433.438,156.738,467.807,6.966,3.696,3.46,1067.384,382.031,38857.377,9.483,30.135,6.74,110.97,142.12,170.888,118.201,3.199
7.664,1.975,0.628,2.913,16.971,374.005,22.038,228172,3.88,0.915,0.899,2.595,33.688,131.034,0.921,1.855,22.847,2,376.981,229.365,400.366,6.074,2.388,2.105,1325.769,490.581,42787.228,10.979,35.25,8.228,128.413,129.833,192.989,96.335,3.004
2.237,1.235,0.613,1.358,16.767,792.945,47.293,229436,1.811,0.58,0.554,7.101,24.692,194.871,0.6,1.177,30.675,1,337.235,265.897,349.057,1.455,1.602,1.076,1287.203,301.772,40073.181,10.572,34.743,7.748,121.315,129.833,186.604,74.34,3.097
6.233,1.853,0.392,2.725,8.556,245.52,28.695,210821,3.365,0.8,0.508,8.464,29.56,94.663,0.871,1.764,20.949,2,371.462,234.643,383.791,4.783,2.164,1.855,1229.847,288.232,39850.975,9.844,33.257,4.384,117.849,131.131,189.578,85.589,1.456
7.551,1.938,0.351,2.833,14.596,481.346,32.978,112565,3.897,0.871,0.91,3.525,28.813,171.021,1.041,1.85,27.898,2,376.915,224.574,391.775,5.805,2.082,2.171,1017.654,399.988,35545.566,7.494,25.56,4.967,114.688,130.146,171.394,92.479,2.466
3.083,1.085,0.774,2.275,13.604,791.121,58.154,187805,2.842,0.768,1.003,6.636,25.538,218.879,0.857,0.972,36.443,1,351.973,244.036,379.094,2.348,1.909,1.701,1233.389,567.954,41243.556,10.101,33.475,6.541,118.506,121.596,183.681,89.268,2.488
5.408,1.386,0.754,2.849,19.134,654.413,34.201,116963,3.903,0.905,0.588,11.025,29.081,196.075,0.966,1.304,27.553,2,372.113,219.14,396.995,4.216,2.187,2.075,949.779,312.923,36605.336,7.723,29.382,6.467,110.552,138.318,174.306,89.934,3.241
7.493,1.071,0.474,1.675,11.088,795.357,71.731,81170,6.996,1.146,1.005,6.635,34.532,294.389,1.398,0.941,35.097,5,433.331,170.382,465.04,6.581,3.242,3.375,999.047,448.269,36713.431,7.485,22.905,3.84,110.146,138.354,166.163,114.987,2.162
2.204,1.211,0.708,2.897,11.238,777.809,69.212,105438,1.82,0.634,1.38,2.731,32.419,167.126,0.593,1.092,24.731,1,337.939,259.155,360.186,1.195,1.32,1.333,1073.826,666.994,39103.737,8.742,26.871,3.797,114.992,123.435,179.001,85.43,1.919
6.185,1.229,0.471,2.346,12.936,442.678,34.22,45612,5.031,0.993,0.868,7.906,33.525,174.6,1.321,1.121,23.493,3,403.105,204.914,422.179,5.068,2.397,2.534,846.915,334.518,34157.817,6.853,21.142,4.032,101.62,132.12,153.857,100.265,2.402
3.784,1.469,0.455,0.892,10.92,587.463,53.795,102991,2.576,0.738,1.329,7.514,32.354,147.162,0.826,1.438,31.783,1,353.374,248.067,366.238,2.505,1.604,1.781,1075.418,602.78,39548.979,9.894,28.777,3.872,113.386,121.491,170.846,89.368,1.694
7.546,1.269,0.294,2.795,9.55,177.31,18.566,131363,5.949,1.1,1.413,1.297,34.825,127.636,1.482,1.103,23.717,5,422.989,188.175,447.094,6.506,3.005,2.987,1208.901,737.996,42161.135,8.959,28.322,4.027,124.379,126.222,195.279,114.981,1.947
7.826,1.101,0.456,1.866,18.289,408.804,22.352,240205,7.109,1.167,0.411,1.997,32.582,196.151,1.532,0.984,23.46,5,427.693,173.514,459.392,7.268,3.668,3.326,1266.552,278.608,39640.315,9.625,34.214,8.496,116.757,149.088,188.266,117.211,3.373
7.666,1.167,0.522,1.813,14.699,666.313,45.33,98950,6.566,1.193,0.415,2.725,32.116,257.14,1.454,1.035,32.456,5,428.363,179.976,449.771,6.744,3.055,3.277,883.277,179.66,33278.287,5.207,21.288,4.529,101.598,143.948,155.929,109.513,2.756
4.845,1.147,0.214,2.046,18.336,453.735,24.745,228539,4.223,0.954,0.871,2.499,30.486,167.67,1.002,1.019,27.237,2,383.627,217.833,407.452,4.152,2.521,2.271,1338.356,511.986,40256.582,10.066,35.661,8.748,121.64,139.079,190.865,95.318,3.016
7.172,1.973,0.466,1.129,17.974,591.889,32.931,80348,3.635,0.849,1.006,3.854,31.024,168.445,0.961,1.889,33.428,2,373.572,228.21,385.475,5.455,1.862,2.101,934.551,395.879,36791.876,7.063,22.332,6.636,112.536,126.029,176.366,90.635,3.055
7.067,1.759,0.669,1.832,11.385,622.026,54.638,72013,4.017,0.91,0.811,5.995,32.312,205.549,1.023,1.676,35.778,2,382.532,224.914,396.335,5.459,2.017,2.326,909.65,357.563,35546.617,6.617,21.643,3.906,109.02,132.696,169.677,88.346,2.065
3.915,1.968,0.608,2.628,14.573,277.428,19.037,144179,1.989,0.619,0.692,5.089,27.054,76.036,0.611,1.89,21.872,1,338.697,262.233,348.78,2.222,1.363,1.321,1027.758,331.726,36200.436,8.864,27.905,4.903,114.821,127.017,175.217,79.795,2.386
6.973,1.44,0.581,0.834,8.999,712.99,79.233,177952,4.844,1.009,1.069,10.797,33.74,238.545,1.158,1.347,33.08,3,400.178,204.012,416.273,5.884,2.811,2.498,1232.499,625.164,40971.866,10.525,34.189,3.679,122.509,133.041,185.836,103.975,1.462
2.222,1.099,0.746,1.4,18.983,421.876,22.224,39753,2.022,0.628,0.302,7.733,28.132,95.277,0.465,1.06,20.727,1,337.495,259.733,344.823,1.216,1.154,1.109,692.693,124.882,29471.279,5.206,17.538,4.673,87.836,125.079,132.957,71.528,3.559
5.578,1.798,0.211,0.805,12.851,247.13,19.23,78634,3.102,0.82,1.462,10.638,32.683,93.425,0.985,1.669,21.782,1,368.068,243.279,386.049,3.863,1.84,1.908,1064.233,692.357,39662.598,10.213,28.533,5.848,117.898,121.001,182.027,94.076,2.148
3.38,1.326,0.534,1.715,12.724,705.791,55.469,130250,2.549,0.698,0.578,6.797,26.023,205.194,0.726,1.201,38.662,1,351.309,244.027,365.103,2.164,1.652,1.52,1015.615,285.777,35369.286,8.303,27.317,3.856,100.591,124.927,154.239,80.198,2.348
2.723,1.299,0.672,2.402,11.633,392.473,33.738,102820,2.096,0.62,1.401,1.989,32.167,106.61,0.512,1.219,28.162,1,347.373,255.685,364.31,1.652,1.401,1.516,1045.039,630.008,38026.58,8.157,26.124,4.35,112.051,128.074,169.083,87.666,1.887
2.462,1.233,0.525,2.557,13.528,625.219,46.217,186776,1.997,0.621,0.431,6.096,27.71,147.135,0.66,1.171,30.64,1,339.497,259.441,349.854,1.669,1.489,1.149,1109.044,225.171,38847.144,8.528,31.952,5.933,102.831,122.705,158.568,77.46,2.542
6.178,1.13,0.394,2.879,11.021,483.623,43.882,142455,5.469,1.02,0.586,10.042,33.238,182.011,1.154,1.025,29.08,3,405.649,198.556,429.824,5.253,2.878,2.695,1040.724,314.987,35761.86,9.471,29.265,4.322,112.385,127.963,171.655,97.702,1.742
4.039,1.256,0.282,2.139,12.498,367.31,29.389,65279,3.215,0.808,0.582,3.135,31.269,117.197,0.923,1.155,22.347,1,354.45,235.918,387.229,2.999,1.534,1.775,798.004,202.771,33548.25,5.368,19.297,3.425,95.414,129.719,150.119,85.833,2.351
6.349,1.355,0.733,1.36,17.599,666.913,37.894,226782,4.684,0.945,1.495,2.003,36.236,231.056,1.172,1.242,31.382,3,403.635,207.535,421.541,5.315,2.773,2.549,1477.169,1003.372,45644.226,11.317,37.592,8.239,138.477,126.488,213.075,106.172,3.556
2.392,1.674,0.482,2.833,18.011,509.129,28.268,94439,1.429,0.552,0.306,4.624,25.905,97.492,0.6,1.628,27.379,1,332.041,268.55,339.189,0.862,0.902,1.061,808.341,138.998,33490.381,6.342,20.667,5.851,92.072,122.859,146.086,67.649,3.126
3.892,1.063,0.727,2.506,11.65,373.393,32.05,190848,3.663,0.839,1.068,5.278,37.12,119.626,0.923,0.946,25.142,2,369.184,226.651,397.245,3.347,2.239,2.053,1272.817,650.594,39236.093,10.524,33.408,4.953,122.196,124.144,190.323,95.062,1.933
5.237,1.211,0.552,2.064,13.628,176.719,12.967,201581,4.326,0.955,1.344,4.369,32.269,81.957,1.058,1.044,23.272,2,383.267,216.159,418.412,4.458,2.49,2.437,1435.384,814.07,46811.224,11.019,34.63,6.37,129.326,126.816,198.468,101.185,2.641
6.744,1.809,0.605,2.33,18.486,726.812,39.317,241894,3.728,0.876,1.107,2.488,31.762,217.459,0.926,1.727,36.559,2,381.542,227.659,397.542,5.395,2.442,2.19,1429.67,665.808,44347.656,11.292,37.335,9.375,130.028,122.138,200.889,94.217,3.307
3.913,1.147,0.683,2.833,8.632,124.829,14.461,139671,3.411,0.872,0.735,3.759,33.334,39.26,0.896,1.066,20.169,2,371.815,234.065,380.495,3.065,1.908,2.064,1062.318,367.867,37357.075,8.135,27.837,3.923,108.987,137.378,168.39,88.33,1.298
5.755,1.343,0.595,2.367,18.67,704.231,37.72,165483,4.287,0.978,1.45,8.505,35.824,219.611,1.11,1.214,30.521,2,394.15,223.4,412.924,4.839,2.558,2.443,1307.468,833.56,44261.195,11.412,35.357,8.746,130.816,128.728,203.429,101.49,3.385
7.316,1.865,0.439,1.61,10.63,351.973,33.111,103672,3.923,0.924,1.372,5.245,36.096,122.924,1.02,1.656,21.612,2,378.636,228.48,403.787,5.543,2.12,2.368,1101.243,655.608,40996.025,9.038,27.63,3.915,117.729,127.222,183.924,100.24,1.916
5.695,1.155,0.508,2.369,16.142,547.537,33.919,179199,4.931,1.025,0.821,7.958,33.926,179.17,1.13,1.039,27.126,3,404.284,211.123,421.596,5.004,2.636,2.738,1171.878,408.112,37746.146,9.218,32.326,6.745,119.672,138.396,183.691,98.573,2.754
3.398,1.083,0.682,0.889,14.991,745.54,49.734,131944,3.138,0.788,0.988,6.899,34.157,212.562,0.763,0.973,34.498,1,363.346,236.617,377.401,2.54,1.849,1.819,1051.155,457.075,37720.711,9.044,31.149,5.574,113.403,136.579,174.821,92.203,2.534
2.146,1.14,0.424,1.65,14.635,206.195,14.089,126283,1.882,0.633,1.461,7.04,29.425,43.427,0.617,1.013,13.608,1,349.451,259.712,364.01,1.315,1.386,1.32,1162.415,740.877,41216.742,9.903,31.908,5.72,116.008,115.696,180.27,86.166,2.764
7.221,1.302,0.433,1.694,18.312,496.865,27.133,218202,5.544,1.108,1.479,3.734,39.897,199.512,1.28,1.177,28.835,4,415.59,199.15,439.737,6.305,3.105,3.157,1447.458,905.242,46593.258,11.455,36.603,9.311,140.151,132.632,205.405,110.217,3.054
2.128,0.691,0.257,1.167,9.219,635.103,68.892,41037,3.077,0.752,0.84,6.737,32.722,175.216,0.723,0.619,35.11,1,370.156,242.506,381.129,1.653,1.631,1.844,755.49,282.521,31832.245,6.134,19.221,2.026,97.107,129.042,152.727,87.234,1.36
7.248,1.804,0.749,0.851,12.164,630.309,51.816,224031,4.018,0.905,1.317,1.26,31.712,203.026,1.09,1.692,33.38,2,385.998,223.872,405.443,5.89,2.54,2.278,1453.906,845.356,45564.658,10.771,36.23,5.696,133.879,129.394,203.697,100.909,1.995
5.174,1.137,0.255,1.093,14.459,467.942,32.363,217455,4.55,0.933,0.662,5.749,33.104,155.608,1.223,1.067,26.377,2,390.181,213.423,408.531,4.365,2.626,2.417,1262.705,403.622,41840.592,10.038,33.411,6.666,121.398,136.303,187.01,91.646,2.756
7.634,1.581,0.589,2.24,17.735,537.318,30.296,141400,4.83,0.995,0.746,7.299,32.835,180.813,1.237,1.441,27.317,3,394.089,210.299,416.144,6.374,2.492,2.437,1098.55,371.936,38976.814,8.873,28.552,6.622,107.839,137.541,164.44,100.297,3.118
6.793,1.506,0.448,2.565,10.597,630.269,59.474,137844,4.512,0.953,0.498,3.002,30.21,216.162,1.042,1.396,33.984,2,381.406,214.677,407.923,5.667,2.286,2.424,958,213.606,35732.899,6.858,24.17,3.54,106.394,132.952,167.905,93.237,1.78
7.988,1.144,0.443,2.974,17.635,688.719,39.054,109597,6.982,1.198,0.551,3.822,30.803,271.229,1.485,1.028,34.928,5,421.906,169.4,468.044,7.158,3.269,3.237,979.15,271.416,37339.741,6.966,22.377,5.658,109.186,146.314,173.337,110.423,3.144
4.104,1.624,0.608,1.562,12.796,633.269,49.491,248718,2.527,0.719,1.088,3.415,28.96,168.976,0.873,1.504,29.969,1,356.504,248.547,360.589,2.985,1.933,1.669,1419.263,668.691,45998.927,11.784,38.604,6.073,127.194,122.417,196.702,84.377,2.368
6.603,1.274,0.24,2.119,10.267,347.803,33.876,54457,5.184,1.072,0.913,1.776,35.929,145.311,1.164,1.173,23.215,3,396.8,206.229,427.173,5.503,2.295,2.671,892.816,343.221,34227.129,6.125,17.637,2.967,105.445,135.972,163.042,102.941,2.128
4.412,1.488,0.556,2.862,17.108,797.708,46.628,159847,2.965,0.779,0.577,4.826,31.284,201.989,0.898,1.387,35.288,1,360.546,244.501,372.336,3.21,1.782,1.555,1075.624,276.828,39941.771,8.675,25.871,6.147,109.572,131.208,169.681,80.917,3.132
4.879,1.082,0.663,1.167,9.091,404.152,44.457,179969,4.508,0.989,0.783,11.769,32.575,173.898,1.019,1.011,25.149,2,389.58,212.445,407.877,4.204,2.679,2.251,1194.663,412.978,40806.481,10.62,35.437,3.596,116.434,130.544,180.41,91.982,2.005
5.765,1.46,0.697,2.379,14.177,117.125,8.262,235552,3.95,0.878,0.748,4.893,33.164,75.928,1.127,1.331,20.794,2,379.072,224.362,386.416,4.806,2.464,2.094,1335.851,450.877,41922.42,10.526,36.726,6.727,123.337,132.099,195.177,90.196,2.676
7.242,1.306,0.302,2.461,8.767,353.832,40.362,201644,5.543,1.053,1.485,6.066,38.465,168.063,1.225,1.227,28.781,3,410.415,198.825,442.09,6.107,3.094,3.001,1395.941,889.06,49105.405,11.986,38.156,4.978,133.687,132.191,219.257,111.076,1.474
7.905,1.822,0.738,0.996,12.277,189.448,15.431,171646,4.337,0.934,1.324,8.184,34.819,67.825,1.249,1.756,16.372,2,395.463,218.233,410.816,6.345,2.512,2.299,1265.086,722.631,42564.746,11.032,35.381,5.816,125.057,119.866,193.15,102.48,2.348
